,predicate,subject,object,sub,pred,obj
0,11255,11991,11256,11256,11255,11991
1,8800,11991,9667,9667,8800,11991
2,11763,11991,3579,3579,11763,11991
3,9682,11991,9681,9681,9682,11991
4,9009,11991,9336,9336,9009,11991
5,11958,11991,11956,11956,11958,11991
6,8924,11991,8883,8883,8924,11991
7,11565,11991,11632,11632,11565,11991
8,8936,11991,8917,8917,8936,11991
9,5011,11991,11318,11318,5011,11991
10,11737,11991,9265,9265,11737,11991
11,8965,11991,9217,9217,8965,11991
12,2179,11991,6758,6758,2179,11991
13,2402,11991,2018,2018,2402,11991
14,11785,11991,8838,8838,11785,11991
15,8691,11991,1901,1901,8691,11991
16,1651,11991,2103,2103,1651,11991
17,2059,11991,2462,2462,2059,11991
18,11829,11991,9530,9530,11829,11991
19,9315,11991,9321,9321,9315,11991
20,8792,11991,11777,11777,8792,11991
21,2465,11991,1688,1688,2465,11991
22,9276,11991,9438,9438,9276,11991
23,2465,11991,2426,2426,2465,11991
24,8603,11991,8585,8585,8603,11991
25,2465,11991,2067,2067,2465,11991
26,2248,11991,1761,1761,2248,11991
27,9415,11991,9461,9461,9415,11991
28,9580,11991,9665,9665,9580,11991
29,11717,11991,11716,11716,11717,11991
30,1866,11991,9661,9661,1866,11991
31,11322,11991,11659,11659,11322,11991
32,11561,11991,11616,11616,11561,11991
33,2208,11991,5461,5461,2208,11991
34,6723,11991,2748,2748,6723,11991
35,1606,11991,11432,11432,1606,11991
36,9600,11991,9601,9601,9600,11991
37,1635,11991,11762,11762,1635,11991
38,2291,11991,9513,9513,2291,11991
39,6723,11991,5908,5908,6723,11991
40,2228,11991,9619,9619,2228,11991
41,2453,11991,2164,2164,2453,11991
42,2250,11991,1846,1846,2250,11991
43,1737,11991,9516,9516,1737,11991
44,6753,11991,1777,1777,6753,11991
45,9055,11991,9394,9394,9055,11991
46,1609,11991,2801,2801,1609,11991
47,9230,11991,8961,8961,9230,11991
48,8942,11991,9008,9008,8942,11991
49,2465,11991,1863,1863,2465,11991
50,2803,11991,9592,9592,2803,11991
51,8608,11991,3261,3261,8608,11991
52,8952,11991,9040,9040,8952,11991
53,9461,11991,9459,9459,9461,11991
54,8745,11991,8634,8634,8745,11991
55,8953,11991,9230,9230,8953,11991
56,1639,11991,11359,11359,1639,11991
57,1820,11991,1821,1821,1820,11991
58,8575,11991,11549,11549,8575,11991
59,1860,11991,1659,1659,1860,11991
60,1838,11991,2971,2971,1838,11991
61,1611,11991,3988,3988,1611,11991
62,11771,11991,9099,9099,11771,11991
63,2465,11991,1660,1660,2465,11991
64,9473,11991,9475,9475,9473,11991
65,1798,11991,1721,1721,1798,11991
66,1599,11991,8772,8772,1599,11991
67,9394,11991,9052,9052,9394,11991
68,1617,11991,1633,1633,1617,11991
69,11541,11991,11540,11540,11541,11991
70,9253,11991,8965,8965,9253,11991
71,8979,11991,8944,8944,8979,11991
72,9556,11991,9598,9598,9556,11991
73,11760,11991,1682,1682,11760,11991
74,9297,11991,9296,9296,9297,11991
75,1647,11991,11766,11766,1647,11991
76,9648,11991,11558,11558,9648,11991
77,3551,11991,8868,8868,3551,11991
78,6717,11991,2069,2069,6717,11991
79,9315,11991,9312,9312,9315,11991
80,2248,11991,9517,9517,2248,11991
81,9506,11991,11318,11318,9506,11991
82,2123,11991,1640,1640,2123,11991
83,2801,11991,11792,11792,2801,11991
84,9541,11991,8546,8546,9541,11991
85,9726,11991,11518,11518,9726,11991
86,2809,11991,11157,11157,2809,11991
87,8608,11991,9762,9762,8608,11991
88,2443,11991,8815,8815,2443,11991
89,9289,11991,9293,9293,9289,11991
90,8889,11991,8895,8895,8889,11991
91,6671,11991,8588,8588,6671,11991
92,11724,11991,11705,11705,11724,11991
93,11433,11991,4206,4206,11433,11991
94,9133,11991,9298,9298,9133,11991
95,9614,11991,11775,11775,9614,11991
96,8603,11991,1589,1589,8603,11991
97,2179,11991,1718,1718,2179,11991
98,2465,11991,1969,1969,2465,11991
99,1811,11991,2467,2467,1811,11991
100,11347,11991,6726,6726,11347,11991
101,3697,11991,11043,11043,3697,11991
102,8957,11991,11492,11492,8957,11991
103,8948,11991,9222,9222,8948,11991
