,0
0,http://swc2019.dice-research.org/task/dataset/s-00001
1,http://swc2019.dice-research.org/task/dataset/s-00002
2,http://swc2019.dice-research.org/task/dataset/s-00003
3,http://swc2019.dice-research.org/task/dataset/s-00004
4,http://swc2019.dice-research.org/task/dataset/s-00005
5,http://swc2019.dice-research.org/task/dataset/s-00006
6,http://swc2019.dice-research.org/task/dataset/s-00007
7,http://swc2019.dice-research.org/task/dataset/s-00008
8,http://swc2019.dice-research.org/task/dataset/s-00009
9,http://swc2019.dice-research.org/task/dataset/s-00010
10,http://swc2019.dice-research.org/task/dataset/s-00011
11,http://swc2019.dice-research.org/task/dataset/s-00012
12,http://swc2019.dice-research.org/task/dataset/s-00013
13,http://swc2019.dice-research.org/task/dataset/s-00014
14,http://swc2019.dice-research.org/task/dataset/s-00015
15,http://swc2019.dice-research.org/task/dataset/s-00016
16,http://swc2019.dice-research.org/task/dataset/s-00017
17,http://swc2019.dice-research.org/task/dataset/s-00018
18,http://swc2019.dice-research.org/task/dataset/s-00019
19,http://swc2019.dice-research.org/task/dataset/s-00020
20,http://swc2019.dice-research.org/task/dataset/s-00021
21,http://swc2019.dice-research.org/task/dataset/s-00022
22,http://swc2019.dice-research.org/task/dataset/s-00023
23,http://swc2019.dice-research.org/task/dataset/s-00024
24,http://swc2019.dice-research.org/task/dataset/s-00025
25,http://swc2019.dice-research.org/task/dataset/s-00026
26,http://swc2019.dice-research.org/task/dataset/s-00027
27,http://swc2019.dice-research.org/task/dataset/s-00028
28,http://swc2019.dice-research.org/task/dataset/s-00029
29,http://swc2019.dice-research.org/task/dataset/s-00030
30,http://swc2019.dice-research.org/task/dataset/s-00031
31,http://swc2019.dice-research.org/task/dataset/s-00032
32,http://swc2019.dice-research.org/task/dataset/s-00033
33,http://swc2019.dice-research.org/task/dataset/s-00034
34,http://swc2019.dice-research.org/task/dataset/s-00035
35,http://swc2019.dice-research.org/task/dataset/s-00036
36,http://swc2019.dice-research.org/task/dataset/s-00037
37,http://swc2019.dice-research.org/task/dataset/s-00038
38,http://swc2019.dice-research.org/task/dataset/s-00039
39,http://swc2019.dice-research.org/task/dataset/s-00040
40,http://swc2019.dice-research.org/task/dataset/s-00041
41,http://swc2019.dice-research.org/task/dataset/s-00042
42,http://swc2019.dice-research.org/task/dataset/s-00043
43,http://swc2019.dice-research.org/task/dataset/s-00044
44,http://swc2019.dice-research.org/task/dataset/s-00045
45,http://swc2019.dice-research.org/task/dataset/s-00046
46,http://swc2019.dice-research.org/task/dataset/s-00047
47,http://swc2019.dice-research.org/task/dataset/s-00048
48,http://swc2019.dice-research.org/task/dataset/s-00049
49,http://swc2019.dice-research.org/task/dataset/s-00050
50,http://swc2019.dice-research.org/task/dataset/s-00051
51,http://swc2019.dice-research.org/task/dataset/s-00052
52,http://swc2019.dice-research.org/task/dataset/s-00053
53,http://swc2019.dice-research.org/task/dataset/s-00054
54,http://swc2019.dice-research.org/task/dataset/s-00055
55,http://swc2019.dice-research.org/task/dataset/s-00056
56,http://swc2019.dice-research.org/task/dataset/s-00057
57,http://swc2019.dice-research.org/task/dataset/s-00058
58,http://swc2019.dice-research.org/task/dataset/s-00059
59,http://swc2019.dice-research.org/task/dataset/s-00060
60,http://swc2019.dice-research.org/task/dataset/s-00061
61,http://swc2019.dice-research.org/task/dataset/s-00062
62,http://swc2019.dice-research.org/task/dataset/s-00063
63,http://swc2019.dice-research.org/task/dataset/s-00064
64,http://swc2019.dice-research.org/task/dataset/s-00065
65,http://swc2019.dice-research.org/task/dataset/s-00066
66,http://swc2019.dice-research.org/task/dataset/s-00067
67,http://swc2019.dice-research.org/task/dataset/s-00068
68,http://swc2019.dice-research.org/task/dataset/s-00069
69,http://swc2019.dice-research.org/task/dataset/s-00070
70,http://swc2019.dice-research.org/task/dataset/s-00071
71,http://swc2019.dice-research.org/task/dataset/s-00072
72,http://swc2019.dice-research.org/task/dataset/s-00073
73,http://swc2019.dice-research.org/task/dataset/s-00074
74,http://swc2019.dice-research.org/task/dataset/s-00075
75,http://swc2019.dice-research.org/task/dataset/s-00076
76,http://swc2019.dice-research.org/task/dataset/s-00077
77,http://swc2019.dice-research.org/task/dataset/s-00078
78,http://swc2019.dice-research.org/task/dataset/s-00079
79,http://swc2019.dice-research.org/task/dataset/s-00080
80,http://swc2019.dice-research.org/task/dataset/s-00081
81,http://swc2019.dice-research.org/task/dataset/s-00082
82,http://swc2019.dice-research.org/task/dataset/s-00083
83,http://swc2019.dice-research.org/task/dataset/s-00084
84,http://swc2019.dice-research.org/task/dataset/s-00085
85,http://swc2019.dice-research.org/task/dataset/s-00086
86,http://swc2019.dice-research.org/task/dataset/s-00087
87,http://swc2019.dice-research.org/task/dataset/s-00088
88,http://swc2019.dice-research.org/task/dataset/s-00089
89,http://swc2019.dice-research.org/task/dataset/s-00090
90,http://swc2019.dice-research.org/task/dataset/s-00091
91,http://swc2019.dice-research.org/task/dataset/s-00092
92,http://swc2019.dice-research.org/task/dataset/s-00093
93,http://swc2019.dice-research.org/task/dataset/s-00094
94,http://swc2019.dice-research.org/task/dataset/s-00095
95,http://swc2019.dice-research.org/task/dataset/s-00096
96,http://swc2019.dice-research.org/task/dataset/s-00097
97,http://swc2019.dice-research.org/task/dataset/s-00098
98,http://swc2019.dice-research.org/task/dataset/s-00099
99,http://swc2019.dice-research.org/task/dataset/s-00100
100,http://swc2019.dice-research.org/task/dataset/s-00101
101,http://swc2019.dice-research.org/task/dataset/s-00102
102,http://swc2019.dice-research.org/task/dataset/s-00103
103,http://swc2019.dice-research.org/task/dataset/s-00104
104,http://swc2019.dice-research.org/task/dataset/s-00105
105,http://swc2019.dice-research.org/task/dataset/s-00106
106,http://swc2019.dice-research.org/task/dataset/s-00107
107,http://swc2019.dice-research.org/task/dataset/s-00108
108,http://swc2019.dice-research.org/task/dataset/s-00109
109,http://swc2019.dice-research.org/task/dataset/s-00110
110,http://swc2019.dice-research.org/task/dataset/s-00111
111,http://swc2019.dice-research.org/task/dataset/s-00112
112,http://swc2019.dice-research.org/task/dataset/s-00113
113,http://swc2019.dice-research.org/task/dataset/s-00114
114,http://swc2019.dice-research.org/task/dataset/s-00115
115,http://swc2019.dice-research.org/task/dataset/s-00116
116,http://swc2019.dice-research.org/task/dataset/s-00117
117,http://swc2019.dice-research.org/task/dataset/s-00118
118,http://swc2019.dice-research.org/task/dataset/s-00119
119,http://swc2019.dice-research.org/task/dataset/s-00120
120,http://swc2019.dice-research.org/task/dataset/s-00121
121,http://swc2019.dice-research.org/task/dataset/s-00122
122,http://swc2019.dice-research.org/task/dataset/s-00123
123,http://swc2019.dice-research.org/task/dataset/s-00124
124,http://swc2019.dice-research.org/task/dataset/s-00125
125,http://swc2019.dice-research.org/task/dataset/s-00126
126,http://swc2019.dice-research.org/task/dataset/s-00127
127,http://swc2019.dice-research.org/task/dataset/s-00128
128,http://swc2019.dice-research.org/task/dataset/s-00129
129,http://swc2019.dice-research.org/task/dataset/s-00130
130,http://swc2019.dice-research.org/task/dataset/s-00131
131,http://swc2019.dice-research.org/task/dataset/s-00132
