,statement,predicted_score
0,http://swc2019.dice-research.org/task/dataset/s-00001,0.51
1,http://swc2019.dice-research.org/task/dataset/s-00002,0.5
2,http://swc2019.dice-research.org/task/dataset/s-00003,0.24
3,http://swc2019.dice-research.org/task/dataset/s-00004,0.51
4,http://swc2019.dice-research.org/task/dataset/s-00005,0.54
5,http://swc2019.dice-research.org/task/dataset/s-00006,0.65
6,http://swc2019.dice-research.org/task/dataset/s-00007,0.52
7,http://swc2019.dice-research.org/task/dataset/s-00008,0.6
8,http://swc2019.dice-research.org/task/dataset/s-00009,0.52
9,http://swc2019.dice-research.org/task/dataset/s-00010,0.53
10,http://swc2019.dice-research.org/task/dataset/s-00011,0.36
11,http://swc2019.dice-research.org/task/dataset/s-00012,0.53
12,http://swc2019.dice-research.org/task/dataset/s-00013,0.61
13,http://swc2019.dice-research.org/task/dataset/s-00014,0.87
14,http://swc2019.dice-research.org/task/dataset/s-00015,0.36
15,http://swc2019.dice-research.org/task/dataset/s-00016,0.54
16,http://swc2019.dice-research.org/task/dataset/s-00017,0.87
17,http://swc2019.dice-research.org/task/dataset/s-00018,0.82
18,http://swc2019.dice-research.org/task/dataset/s-00019,0.41
19,http://swc2019.dice-research.org/task/dataset/s-00020,0.52
20,http://swc2019.dice-research.org/task/dataset/s-00021,0.54
21,http://swc2019.dice-research.org/task/dataset/s-00022,0.9
22,http://swc2019.dice-research.org/task/dataset/s-00023,0.51
23,http://swc2019.dice-research.org/task/dataset/s-00024,0.82
24,http://swc2019.dice-research.org/task/dataset/s-00025,0.49
25,http://swc2019.dice-research.org/task/dataset/s-00026,0.87
26,http://swc2019.dice-research.org/task/dataset/s-00027,0.89
27,http://swc2019.dice-research.org/task/dataset/s-00028,0.51
28,http://swc2019.dice-research.org/task/dataset/s-00029,0.51
29,http://swc2019.dice-research.org/task/dataset/s-00030,0.64
30,http://swc2019.dice-research.org/task/dataset/s-00031,0.62
31,http://swc2019.dice-research.org/task/dataset/s-00032,0.57
32,http://swc2019.dice-research.org/task/dataset/s-00033,0.6
33,http://swc2019.dice-research.org/task/dataset/s-00034,0.58
34,http://swc2019.dice-research.org/task/dataset/s-00035,0.48
35,http://swc2019.dice-research.org/task/dataset/s-00036,0.59
36,http://swc2019.dice-research.org/task/dataset/s-00037,0.5
37,http://swc2019.dice-research.org/task/dataset/s-00038,0.58
38,http://swc2019.dice-research.org/task/dataset/s-00039,0.64
39,http://swc2019.dice-research.org/task/dataset/s-00040,0.51
40,http://swc2019.dice-research.org/task/dataset/s-00041,0.63
41,http://swc2019.dice-research.org/task/dataset/s-00042,0.84
42,http://swc2019.dice-research.org/task/dataset/s-00043,0.89
43,http://swc2019.dice-research.org/task/dataset/s-00044,0.62
44,http://swc2019.dice-research.org/task/dataset/s-00045,0.58
45,http://swc2019.dice-research.org/task/dataset/s-00046,0.54
46,http://swc2019.dice-research.org/task/dataset/s-00047,0.72
47,http://swc2019.dice-research.org/task/dataset/s-00048,0.49
48,http://swc2019.dice-research.org/task/dataset/s-00049,0.52
49,http://swc2019.dice-research.org/task/dataset/s-00050,0.88
50,http://swc2019.dice-research.org/task/dataset/s-00051,0.59
51,http://swc2019.dice-research.org/task/dataset/s-00052,0.37
52,http://swc2019.dice-research.org/task/dataset/s-00053,0.52
53,http://swc2019.dice-research.org/task/dataset/s-00054,0.51
54,http://swc2019.dice-research.org/task/dataset/s-00055,0.51
55,http://swc2019.dice-research.org/task/dataset/s-00056,0.54
56,http://swc2019.dice-research.org/task/dataset/s-00057,0.6
57,http://swc2019.dice-research.org/task/dataset/s-00058,0.9
58,http://swc2019.dice-research.org/task/dataset/s-00059,0.52
59,http://swc2019.dice-research.org/task/dataset/s-00060,0.9
60,http://swc2019.dice-research.org/task/dataset/s-00061,0.66
61,http://swc2019.dice-research.org/task/dataset/s-00062,0.52
62,http://swc2019.dice-research.org/task/dataset/s-00063,0.36
63,http://swc2019.dice-research.org/task/dataset/s-00064,0.9
64,http://swc2019.dice-research.org/task/dataset/s-00065,0.51
65,http://swc2019.dice-research.org/task/dataset/s-00066,0.89
66,http://swc2019.dice-research.org/task/dataset/s-00067,0.6
67,http://swc2019.dice-research.org/task/dataset/s-00068,0.48
68,http://swc2019.dice-research.org/task/dataset/s-00069,0.9
69,http://swc2019.dice-research.org/task/dataset/s-00070,0.59
70,http://swc2019.dice-research.org/task/dataset/s-00071,0.49
71,http://swc2019.dice-research.org/task/dataset/s-00072,0.52
72,http://swc2019.dice-research.org/task/dataset/s-00073,0.51
73,http://swc2019.dice-research.org/task/dataset/s-00074,0.34
74,http://swc2019.dice-research.org/task/dataset/s-00075,0.52
75,http://swc2019.dice-research.org/task/dataset/s-00076,0.58
76,http://swc2019.dice-research.org/task/dataset/s-00077,0.52
77,http://swc2019.dice-research.org/task/dataset/s-00078,0.56
78,http://swc2019.dice-research.org/task/dataset/s-00079,0.56
79,http://swc2019.dice-research.org/task/dataset/s-00080,0.52
80,http://swc2019.dice-research.org/task/dataset/s-00081,0.64
81,http://swc2019.dice-research.org/task/dataset/s-00082,0.53
82,http://swc2019.dice-research.org/task/dataset/s-00083,0.9
83,http://swc2019.dice-research.org/task/dataset/s-00084,0.58
84,http://swc2019.dice-research.org/task/dataset/s-00085,0.44
85,http://swc2019.dice-research.org/task/dataset/s-00086,0.53
86,http://swc2019.dice-research.org/task/dataset/s-00087,0.59
87,http://swc2019.dice-research.org/task/dataset/s-00088,0.51
88,http://swc2019.dice-research.org/task/dataset/s-00089,0.59
89,http://swc2019.dice-research.org/task/dataset/s-00090,0.52
90,http://swc2019.dice-research.org/task/dataset/s-00091,0.52
91,http://swc2019.dice-research.org/task/dataset/s-00092,0.5
92,http://swc2019.dice-research.org/task/dataset/s-00093,0.63
93,http://swc2019.dice-research.org/task/dataset/s-00094,0.25
