,predicate,subject,object,sub,pred,obj
0,11991,11256,11255,11256,11991,11255
1,11991,9667,8800,9667,11991,8800
2,11991,3579,11763,3579,11991,11763
3,11991,9681,9682,9681,11991,9682
4,11991,9336,9009,9336,11991,9009
5,11991,11956,11958,11956,11991,11958
6,11991,8883,8924,8883,11991,8924
7,11991,11632,11565,11632,11991,11565
8,11991,8917,8936,8917,11991,8936
9,11991,11318,5011,11318,11991,5011
10,11991,9265,11737,9265,11991,11737
11,11991,9217,8965,9217,11991,8965
12,11991,6758,2179,6758,11991,2179
13,11991,2018,2402,2018,11991,2402
14,11991,8838,11785,8838,11991,11785
15,11991,1901,8691,1901,11991,8691
16,11991,2103,1651,2103,11991,1651
17,11991,2462,2059,2462,11991,2059
18,11991,9530,11829,9530,11991,11829
19,11991,9321,9315,9321,11991,9315
20,11991,11777,8792,11777,11991,8792
21,11991,1688,2465,1688,11991,2465
22,11991,9438,9276,9438,11991,9276
23,11991,2426,2465,2426,11991,2465
24,11991,8585,8603,8585,11991,8603
25,11991,2067,2465,2067,11991,2465
26,11991,1761,2248,1761,11991,2248
27,11991,9461,9415,9461,11991,9415
28,11991,9665,9580,9665,11991,9580
29,11991,11716,11717,11716,11991,11717
30,11991,9661,1866,9661,11991,1866
31,11991,11659,11322,11659,11991,11322
32,11991,11616,11561,11616,11991,11561
33,11991,5461,2208,5461,11991,2208
34,11991,2748,6723,2748,11991,6723
35,11991,11432,1606,11432,11991,1606
36,11991,9601,9600,9601,11991,9600
37,11991,11762,1635,11762,11991,1635
38,11991,9513,2291,9513,11991,2291
39,11991,5908,6723,5908,11991,6723
40,11991,9619,2228,9619,11991,2228
41,11991,2164,2453,2164,11991,2453
42,11991,1846,2250,1846,11991,2250
43,11991,9516,1737,9516,11991,1737
44,11991,1777,6753,1777,11991,6753
45,11991,9394,9055,9394,11991,9055
46,11991,2801,1609,2801,11991,1609
47,11991,8961,9230,8961,11991,9230
48,11991,9008,8942,9008,11991,8942
49,11991,1863,2465,1863,11991,2465
50,11991,9592,2803,9592,11991,2803
51,11991,3261,8608,3261,11991,8608
52,11991,9040,8952,9040,11991,8952
53,11991,9459,9461,9459,11991,9461
54,11991,8634,8745,8634,11991,8745
55,11991,9230,8953,9230,11991,8953
56,11991,11359,1639,11359,11991,1639
57,11991,1821,1820,1821,11991,1820
58,11991,11549,8575,11549,11991,8575
59,11991,1659,1860,1659,11991,1860
60,11991,2971,1838,2971,11991,1838
61,11991,3988,1611,3988,11991,1611
62,11991,9099,11771,9099,11991,11771
63,11991,1660,2465,1660,11991,2465
64,11991,9475,9473,9475,11991,9473
65,11991,1721,1798,1721,11991,1798
66,11991,8772,1599,8772,11991,1599
67,11991,9052,9394,9052,11991,9394
68,11991,1633,1617,1633,11991,1617
69,11991,11540,11541,11540,11991,11541
70,11991,8965,9253,8965,11991,9253
71,11991,8944,8979,8944,11991,8979
72,11991,9598,9556,9598,11991,9556
73,11991,1682,11760,1682,11991,11760
74,11991,9296,9297,9296,11991,9297
75,11991,11766,1647,11766,11991,1647
76,11991,11558,9648,11558,11991,9648
77,11991,8868,3551,8868,11991,3551
78,11991,2069,6717,2069,11991,6717
79,11991,9312,9315,9312,11991,9315
80,11991,9517,2248,9517,11991,2248
81,11991,11318,9506,11318,11991,9506
82,11991,1640,2123,1640,11991,2123
83,11991,11792,2801,11792,11991,2801
84,11991,8546,9541,8546,11991,9541
85,11991,11518,9726,11518,11991,9726
86,11991,11157,2809,11157,11991,2809
87,11991,9762,8608,9762,11991,8608
88,11991,8815,2443,8815,11991,2443
89,11991,9293,9289,9293,11991,9289
90,11991,8895,8889,8895,11991,8889
91,11991,8588,6671,8588,11991,6671
92,11991,11705,11724,11705,11991,11724
93,11991,4206,11433,4206,11991,11433
94,11991,9298,9133,9298,11991,9133
95,11991,11775,9614,11775,11991,9614
96,11991,1589,8603,1589,11991,8603
97,11991,1718,2179,1718,11991,2179
98,11991,1969,2465,1969,11991,2465
99,11991,2467,1811,2467,11991,1811
100,11991,6726,11347,6726,11991,11347
101,11991,11043,3697,11043,11991,3697
102,11991,11492,8957,11492,11991,8957
103,11991,9222,8948,9222,11991,8948
104,11991,9593,2113,9593,11991,2113
105,11991,9202,9013,9202,11991,9013
106,11991,9058,8942,9058,11991,8942
107,11991,8991,9217,8991,11991,9217
108,11991,11513,11503,11513,11991,11503
109,11991,11783,5051,11783,11991,5051
110,11991,9635,9473,9635,11991,9473
111,11991,1585,8603,1585,11991,8603
112,11991,11547,1609,11547,11991,1609
113,11991,9472,9484,9472,11991,9484
114,11991,1646,1609,1646,11991,1609
115,11991,9071,8959,9071,11991,8959
116,11991,8934,8935,8934,11991,8935
117,11991,8835,8691,8835,11991,8691
118,11991,8797,5567,8797,11991,5567
119,11991,11248,11250,11248,11991,11250
120,11991,11511,11499,11511,11991,11499
121,11991,2113,3839,2113,11991,3839
122,11991,11771,1623,11771,11991,1623
123,11991,11782,2228,11782,11991,2228
124,11991,8867,8852,8867,11991,8852
