,score,predicate,subject,object
0,3,36993,36258,36257
1,3,36993,34669,33802
2,3,36993,28581,36765
3,3,36993,34683,34684
4,3,36993,34338,34011
5,3,36993,36958,36960
6,3,36993,33885,33926
7,3,36993,36634,36567
8,3,36993,33919,33938
9,3,36993,36320,30013
10,3,36993,34267,36739
11,3,36993,34219,33967
12,3,36993,31760,27181
13,3,36993,27020,27404
14,3,36993,33840,36787
15,3,36993,26903,33693
16,3,36993,27105,26653
17,3,36993,27464,27061
18,3,36993,34532,36831
19,3,36993,34323,34317
20,3,36993,36779,33794
21,3,36993,26690,27467
22,3,36993,34440,34278
23,3,36993,27428,27467
24,3,36993,33587,33605
25,3,36993,27069,27467
26,3,36993,26763,27250
27,3,36993,34463,34417
28,3,36993,34667,34582
29,3,36993,36718,36719
30,3,36993,34663,26868
31,3,36993,36661,36324
32,3,36993,36618,36563
33,3,36993,30463,27210
34,3,36993,27750,31725
35,3,36993,36434,26608
36,3,36993,34603,34602
37,3,36993,36764,26637
38,3,36993,34515,27293
39,3,36993,30910,31725
40,3,36993,34621,27230
41,3,36993,27166,27455
42,3,36993,26848,27252
43,3,36993,34518,26739
44,3,36993,26779,31755
45,3,36993,34396,34057
46,3,36993,27803,26611
47,3,36993,33963,34232
48,3,36993,34010,33944
49,3,36993,26865,27467
50,3,36993,34594,27805
51,3,36993,28263,33610
52,3,36993,34042,33954
53,3,36993,34461,34463
54,3,36993,33636,33747
55,3,36993,34232,33955
56,3,36993,36361,26641
57,3,36993,26823,26822
58,3,36993,36551,33577
59,3,36993,26661,26862
60,3,36993,27973,26840
61,3,36993,28990,26613
62,3,36993,34101,36773
63,3,36993,26662,27467
64,3,36993,34477,34475
65,3,36993,26723,26800
66,3,36993,33774,26601
67,3,36993,34054,34396
68,3,36993,26635,26619
69,3,36993,36542,36543
70,3,36993,33967,34255
71,3,36993,33946,33981
72,3,36993,34600,34558
73,3,36993,26684,36762
74,3,36993,34298,34299
75,3,36993,36768,26649
76,3,36993,36560,34650
77,3,36993,33870,28553
78,3,36993,27071,31719
79,3,36993,34314,34317
80,3,36993,34519,27250
81,3,36993,36320,34508
82,3,36993,26642,27125
83,3,36993,36794,27803
84,3,36993,33548,34543
85,3,36993,36520,34728
86,3,36993,36159,27811
87,3,36993,34764,33610
88,3,36993,33817,27445
89,3,36993,34295,34291
90,3,36993,33897,33891
91,3,36993,33590,31673
92,3,36993,36707,36726
93,3,36993,29208,36435
94,3,36993,34300,34135
95,3,36993,36777,34616
96,3,36993,26591,33605
97,3,36993,26720,27181
98,3,36993,26971,27467
99,3,36993,27469,26813
100,3,36993,31728,36349
101,3,36993,36045,28699
102,3,36993,36494,33959
103,3,36993,34224,33950
104,3,36993,34595,27115
105,3,36993,34204,34015
106,3,36993,34060,33944
107,3,36993,33993,34219
108,3,36993,36515,36505
109,3,36993,36785,30053
110,3,36993,34637,34475
111,3,36993,26587,33605
112,3,36993,36549,26611
113,3,36993,34474,34486
114,3,36993,26648,26611
115,3,36993,34073,33961
116,3,36993,33936,33937
117,3,36993,33837,33693
118,3,36993,33799,30569
119,3,36993,36250,36252
120,3,36993,36513,36501
121,3,36993,27115,28841
122,3,36993,36773,26625
123,3,36993,36784,27230
124,3,36993,33869,33854
125,3,36993,33982,36488
126,3,36993,33771,33854
127,3,36993,26643,26611
128,3,36993,34066,34241
129,3,36993,34591,34635
130,3,36993,33790,27230
131,3,36993,33305,31669
132,3,36993,26794,36270
133,3,36993,27228,27748
134,3,36993,36558,27115
135,3,36993,34358,34072
136,3,36993,33978,33981
137,3,36993,34057,34332
138,3,36993,33956,33947
139,3,36993,26745,26683
140,3,36993,34058,33962
141,3,36993,33744,26661
142,3,36993,26627,26610
143,3,36993,34639,36119
144,3,36993,36073,36024
145,3,36993,34565,26611
146,3,36993,36869,36710
147,3,36993,27087,27467
148,3,36993,30104,26605
149,3,36993,36760,36476
150,3,36993,36510,36501
151,3,36993,26980,27331
152,3,36993,36671,36479
153,3,36993,34471,26868
154,3,36993,36774,26637
155,3,36993,34344,33981
156,3,36993,36868,36710
157,3,36993,36426,26648
158,3,36993,33881,33790
159,3,36993,34504,30053
160,3,36993,33561,33605
161,3,36993,34457,34458
162,3,36993,36732,34269
163,3,36993,36553,34183
164,3,36993,36313,34525
165,3,36993,36639,28841
166,3,36993,34869,33841
167,3,36993,33551,31669
168,3,36993,33954,33960
169,3,36993,36270,27168
170,3,36993,27787,26897
171,3,36993,36782,26649
172,3,36993,34625,26625
173,3,36993,31649,26991
174,3,36993,36842,36542
175,3,36993,34567,33869
176,3,36993,33933,33924
177,3,36993,27272,33733
178,3,36993,36707,36887
179,3,36993,26601,26647
180,3,36993,33919,33937
181,3,36993,26618,26656
182,3,36993,33610,27230
183,3,36993,36256,36260
184,3,36993,34011,34017
185,3,36993,36496,36505
186,3,36993,27447,27277
187,3,36993,34019,33994
188,3,36993,34356,33970
189,3,36993,26651,26618
190,3,36993,34072,34131
191,3,36993,34332,34349
192,3,36993,34283,34014
193,3,36993,36658,36659
194,3,36993,33925,33926
195,3,36993,33938,33927
196,3,36993,36583,36960
197,3,36993,34012,34018
198,3,36993,27550,33605
199,3,36993,34637,33869
200,3,36993,34589,31681
201,3,36993,36818,33577
202,3,36993,36521,36410
203,3,36993,33878,26641
204,3,36993,26606,26620
205,3,36993,36255,36261
206,3,36993,36324,36075
207,3,36993,34317,34344
208,3,36993,27142,27293
209,3,36993,36519,36505
210,3,36993,36506,36410
211,3,36993,36619,34699
212,3,36993,27324,27550
213,3,36993,34705,27550
214,3,36993,34613,27210
215,3,36993,36951,36459
216,3,36993,36954,34692
217,3,36993,34574,33854
218,3,36993,29766,36818
219,3,36993,27621,33790
220,3,36993,34582,36481
221,3,36993,34396,34394
222,3,36993,36958,26650
223,3,36993,27811,27325
224,3,36993,34309,34207
225,3,36993,27197,33790
226,3,36993,27965,27216
227,3,36993,27987,27986
228,3,36993,26603,26635
229,3,36993,34678,34515
230,3,36993,36850,31710
231,3,36993,27652,27141
232,3,36993,36634,36633
233,3,36993,26951,26608
234,3,36993,27464,27682
235,3,36993,27683,36497
236,3,36993,34649,34505
237,3,36993,26668,33774
238,3,36993,34561,36773
239,3,36993,34059,34255
240,3,36993,36533,36501
241,3,36993,27578,26991
242,3,36993,36347,27102
243,3,36993,26803,26954
244,3,36993,26768,31475
245,3,36993,27210,27101
246,3,36993,34593,31708
247,3,36993,36644,34437
248,3,36993,34633,33854
249,3,36993,36519,36497
250,3,36993,34779,27293
251,3,36993,34288,34025
252,3,36993,26684,34581
253,3,36993,34027,34019
254,3,36993,33926,33917
255,3,36993,34003,34074
256,3,36993,31675,27146
257,3,36993,33942,34437
258,3,36993,29649,33869
259,3,36993,36517,36505
260,3,36993,34578,27125
261,3,36993,33915,33916
262,3,36993,27058,33722
263,3,36993,34805,26637
264,3,36993,36632,36561
265,3,36993,33966,33981
266,3,36993,36650,36651
267,3,36993,33911,33906
268,3,36993,34513,34471
269,3,36993,34249,34253
270,3,36993,34582,27293
271,3,36993,36653,26625
272,3,36993,36064,26649
273,3,36993,33772,26649
274,3,36993,33853,33854
275,3,36993,34042,33967
276,3,36993,34328,34394
277,3,36993,34587,31681
278,3,36993,36546,26643
279,3,36993,34505,31721
280,3,36993,36584,36585
281,3,36993,36825,27782
282,3,36993,36747,36749
283,3,36993,36612,36610
284,3,36993,34080,34433
285,3,36993,26868,27578
286,3,36993,36820,27210
287,3,36993,34349,33995
288,3,36993,26963,27337
289,3,36993,36347,27982
290,3,36993,34034,34287
291,3,36993,33943,34396
292,3,36993,28990,26606
293,3,36993,34612,36221
294,3,36993,33832,33878
295,3,36993,26609,26620
296,3,36993,34666,34667
297,3,36993,36513,34728
298,3,36993,34458,34459
299,3,36993,36793,27451
300,3,36993,36668,31709
301,3,36993,36770,26649
302,3,36993,34630,26608
303,3,36993,36503,36969
304,3,36993,36516,36410
305,3,36993,36502,36410
306,3,36993,33790,33611
307,3,36993,27100,27181
308,3,36993,34384,34032
309,3,36993,34524,27293
310,3,36993,27059,27467
311,3,36993,34645,27587
312,3,36993,33898,33896
313,3,36993,34598,36594
314,3,36993,27121,27540
315,3,36993,36615,26611
316,3,36993,33901,33899
317,3,36993,36038,34479
318,3,36993,36410,30463
319,3,36993,36321,28131
320,3,36993,27815,27445
321,3,36993,36623,27115
322,3,36993,34189,34483
323,3,36993,28287,26642
324,3,36993,36556,33869
325,3,36993,26702,27695
326,3,36993,36493,34313
327,3,36993,36432,36348
328,3,36993,36415,36377
329,3,36993,36774,34495
330,3,36993,34339,34007
331,3,36993,34294,34291
332,3,36993,26633,26611
333,3,36993,34281,34016
334,3,36993,29088,34500
335,3,36993,33960,33971
336,3,36993,33971,34044
337,3,36993,36322,36794
338,3,36993,34204,34014
339,3,36993,33826,30145
340,3,36993,34687,27366
341,3,36993,27637,26903
342,3,36993,36420,26601
343,3,36993,33908,33904
344,3,36993,36458,36679
345,3,36993,36878,36879
346,3,36993,33973,33982
347,3,36993,29308,27811
348,3,36993,36864,30145
349,3,36993,35128,34786
350,3,36993,26982,33748
351,3,36993,36497,27003
352,3,36993,27102,26637
353,3,36993,34356,34060
354,3,36993,33896,33897
355,3,36993,36648,36650
356,3,36993,36245,36247
357,3,36993,36566,28713
358,3,36993,36662,36556
359,3,36993,27467,26746
360,3,36993,33909,33907
361,3,36993,27636,26685
362,3,36993,36495,33954
363,3,36993,33303,26798
364,3,36993,36608,36609
365,3,36993,34351,33982
366,3,36993,31758,34588
367,3,36993,36767,31709
368,3,36993,33490,33611
369,3,36993,34266,33887
370,3,36993,36606,36612
371,3,36993,36305,36307
372,3,36993,27976,33774
373,3,36993,34459,34418
374,3,36993,31447,26812
375,3,36993,34662,36043
376,3,36993,34613,36481
377,3,36993,36742,36736
378,3,36993,36716,36963
379,3,36993,26906,27342
380,3,36993,36781,33842
381,3,36993,34292,34296
382,3,36993,34310,33960
383,3,36993,27734,27467
384,3,36993,34391,34364
385,3,36993,36108,26649
386,3,36993,34044,34041
