,predicate,subject,object,score
0,11256,11991,11255,1.0
1,9667,11991,8800,1.0
2,3579,11991,11763,1.0
3,9681,11991,9682,1.0
4,9336,11991,9009,1.0
5,11956,11991,11958,1.0
6,8883,11991,8924,1.0
7,11632,11991,11565,1.0
8,8917,11991,8936,1.0
9,11318,11991,5011,1.0
10,9265,11991,11737,1.0
11,9217,11991,8965,1.0
12,6758,11991,2179,1.0
13,2018,11991,2402,1.0
14,8838,11991,11785,1.0
15,1901,11991,8691,1.0
16,2103,11991,1651,1.0
17,2462,11991,2059,1.0
18,9530,11991,11829,1.0
19,9321,11991,9315,1.0
20,11777,11991,8792,1.0
21,1688,11991,2465,1.0
22,9438,11991,9276,1.0
23,2426,11991,2465,1.0
24,8585,11991,8603,1.0
25,2067,11991,2465,1.0
26,1761,11991,2248,1.0
27,9461,11991,9415,1.0
28,9665,11991,9580,1.0
29,11716,11991,11717,1.0
30,9661,11991,1866,1.0
31,11659,11991,11322,1.0
32,11616,11991,11561,1.0
33,5461,11991,2208,1.0
34,2748,11991,6723,1.0
35,11432,11991,1606,1.0
36,9601,11991,9600,1.0
37,11762,11991,1635,1.0
38,9513,11991,2291,1.0
39,5908,11991,6723,1.0
40,9619,11991,2228,1.0
41,2164,11991,2453,1.0
42,1846,11991,2250,1.0
43,9516,11991,1737,1.0
44,1777,11991,6753,1.0
45,9394,11991,9055,1.0
46,2801,11991,1609,1.0
47,8961,11991,9230,1.0
48,9008,11991,8942,1.0
49,1863,11991,2465,1.0
50,9592,11991,2803,1.0
51,3261,11991,8608,1.0
52,9040,11991,8952,1.0
53,9459,11991,9461,1.0
54,8634,11991,8745,1.0
55,9230,11991,8953,1.0
56,11359,11991,1639,1.0
57,1821,11991,1820,1.0
58,11549,11991,8575,1.0
59,1659,11991,1860,1.0
60,2971,11991,1838,1.0
61,3988,11991,1611,1.0
62,9099,11991,11771,1.0
63,1660,11991,2465,1.0
64,9475,11991,9473,1.0
65,1721,11991,1798,1.0
66,8772,11991,1599,1.0
67,9052,11991,9394,1.0
68,1633,11991,1617,1.0
69,11540,11991,11541,1.0
70,8965,11991,9253,1.0
71,8944,11991,8979,1.0
72,9598,11991,9556,1.0
73,1682,11991,11760,1.0
74,9296,11991,9297,1.0
75,11766,11991,1647,1.0
76,11558,11991,9648,1.0
77,8868,11991,3551,1.0
78,2069,11991,6717,1.0
79,9312,11991,9315,1.0
80,9517,11991,2248,1.0
81,11318,11991,9506,1.0
82,1640,11991,2123,1.0
83,11792,11991,2801,1.0
84,8546,11991,9541,1.0
85,11518,11991,9726,1.0
86,11157,11991,2809,1.0
87,9762,11991,8608,1.0
88,8815,11991,2443,1.0
89,9293,11991,9289,1.0
90,8895,11991,8889,1.0
91,8588,11991,6671,1.0
92,11705,11991,11724,1.0
93,4206,11991,11433,1.0
94,9298,11991,9133,1.0
95,11775,11991,9614,1.0
96,1589,11991,8603,1.0
97,1718,11991,2179,1.0
98,1969,11991,2465,1.0
99,2467,11991,1811,1.0
100,6726,11991,11347,1.0
101,11043,11991,3697,1.0
102,11492,11991,8957,1.0
103,9222,11991,8948,1.0
104,9593,11991,2113,1.0
105,9202,11991,9013,1.0
106,9058,11991,8942,1.0
107,8991,11991,9217,1.0
108,11513,11991,11503,1.0
109,11783,11991,5051,1.0
110,9635,11991,9473,1.0
111,1585,11991,8603,1.0
112,11547,11991,1609,1.0
113,9472,11991,9484,1.0
114,1646,11991,1609,1.0
115,9071,11991,8959,1.0
116,8934,11991,8935,1.0
117,8835,11991,8691,1.0
118,8797,11991,5567,1.0
119,11248,11991,11250,1.0
120,11511,11991,11499,1.0
121,2113,11991,3839,1.0
122,11771,11991,1623,1.0
123,11782,11991,2228,1.0
124,8867,11991,8852,1.0
125,8980,11991,11486,1.0
126,8769,11991,8852,1.0
127,1641,11991,1609,1.0
128,9064,11991,9239,1.0
129,9589,11991,9633,1.0
130,8788,11991,2228,1.0
131,8303,11991,6667,1.0
132,1792,11991,11268,1.0
133,2226,11991,2746,1.0
134,11556,11991,2113,1.0
135,9356,11991,9070,1.0
136,8976,11991,8979,1.0
137,9055,11991,9330,1.0
138,8954,11991,8945,1.0
139,1743,11991,1681,1.0
140,9056,11991,8960,1.0
141,8742,11991,1659,1.0
142,1625,11991,1608,1.0
143,9637,11991,11117,1.0
144,11071,11991,11022,1.0
145,9563,11991,1609,1.0
146,11867,11991,11708,1.0
147,2085,11991,2465,1.0
148,5102,11991,1603,1.0
149,11758,11991,11474,1.0
150,11508,11991,11499,1.0
151,1978,11991,2329,1.0
152,11669,11991,11477,1.0
153,9469,11991,1866,1.0
154,11772,11991,1635,1.0
155,9342,11991,8979,1.0
156,11866,11991,11708,1.0
157,11424,11991,1646,1.0
158,8879,11991,8788,1.0
159,9502,11991,5051,1.0
160,8559,11991,8603,1.0
161,9455,11991,9456,1.0
162,11730,11991,9267,1.0
163,11551,11991,9181,1.0
164,11311,11991,9523,1.0
165,11637,11991,3839,1.0
166,9867,11991,8839,1.0
167,8549,11991,6667,1.0
168,8952,11991,8958,1.0
169,11268,11991,2166,1.0
170,2785,11991,1895,1.0
171,11780,11991,1647,1.0
172,9623,11991,1623,1.0
173,6647,11991,1989,1.0
174,11840,11991,11540,1.0
175,9565,11991,8867,1.0
176,8931,11991,8922,1.0
177,2270,11991,8731,1.0
178,11705,11991,11885,1.0
179,1599,11991,1645,1.0
180,8917,11991,8935,1.0
181,1616,11991,1654,1.0
182,8608,11991,2228,1.0
183,11254,11991,11258,1.0
184,9009,11991,9015,1.0
185,11494,11991,11503,1.0
186,2445,11991,2275,1.0
187,9017,11991,8992,1.0
188,9354,11991,8968,1.0
189,1649,11991,1616,1.0
190,9070,11991,9129,1.0
191,9330,11991,9347,1.0
192,9281,11991,9012,1.0
193,11656,11991,11657,1.0
194,8923,11991,8924,1.0
